USPS	GEOID	ANSICODE	NAME	FUNCSTAT	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                      
MA	2501112505	00619379	Charlemont town	A	67988989	1027158	26.251	0.397	42.63313	-72.854712                                                                                                              
MA	2501114885	00618160	Colrain town	A	111585074	668185	43.083	0.258	42.694731	-72.710956                                                                                                                
MA	2501115200	00618161	Conway town	A	97696510	409457	37.721	0.158	42.508567	-72.707159                                                                                                                  
MA	2501116670	00618162	Deerfield town	A	83924431	2717544	32.403	1.049	42.517967	-72.613139                                                                                                              
MA	2501121780	00618163	Erving town	A	35721726	1534900	13.792	0.593	42.613418	-72.426428                                                                                                                 
MA	2501125730	00618164	Gill town	A	35665320	2675477	13.77	1.033	42.624101	-72.508607                                                                                                                    
MA	2501127060	00618166	Greenfield city	F	55458172	1193406	21.413	0.461	42.614671	-72.597063                                                                                                             
MA	2501129475	00619380	Hawley town	A	78962706	124804	30.488	0.048	42.575572	-72.900789                                                                                                                  
MA	2501129650	00618167	Heath town	A	64496240	97646	24.902	0.038	42.693268	-72.823116                                                                                                                    
MA	2501135180	00618168	Leverett town	A	59027907	425598	22.791	0.164	42.468898	-72.484579                                                                                                                
MA	2501135285	00618169	Leyden town	A	46458687	300526	17.938	0.116	42.697579	-72.627606                                                                                                                  
MA	2501142040	00618170	Monroe town	A	27679919	278368	10.687	0.107	42.727772	-72.985346                                                                                                                  
MA	2501142285	00618171	Montague town	A	78083796	3350247	30.148	1.294	42.556617	-72.517075                                                                                                               
MA	2501145490	00618172	New Salem town	A	115922616	36081725	44.758	13.931	42.458551	-72.327191                                                                                                           
MA	2501147835	00619381	Northfield town	A	88741275	2813226	34.263	1.086	42.677091	-72.453876                                                                                                             
MA	2501151265	00618173	Orange town	A	90812894	2464432	35.063	0.952	42.605437	-72.292074                                                                                                                 
MA	2501158335	00618174	Rowe town	A	60704189	1519657	23.438	0.587	42.695532	-72.909148                                                                                                                   
MA	2501161135	00618175	Shelburne town	A	59977403	655776	23.157	0.253	42.61865	-72.679279                                                                                                                
MA	2501161905	00619382	Shutesbury town	A	68667035	1563521	26.512	0.604	42.456968	-72.417244                                                                                                             
MA	2501168400	00618176	Sunderland town	A	36830577	1338347	14.22	0.517	42.466691	-72.546751                                                                                                              
MA	2501173265	00618177	Warwick town	A	96733119	807713	37.349	0.312	42.679971	-72.339882                                                                                                                 
MA	2501174525	00618178	Wendell town	A	82497947	965752	31.853	0.373	42.556308	-72.407153                                                                                                                 
MA	2501179110	01729674	Whately town	A	52201447	1326736	20.155	0.512	42.430995	-72.642437                                                                                                                
MA	2501300840	00618180	Agawam Town city	F	60403412	2622624	23.322	1.013	42.063891	-72.652959                                                                                                            
MA	2501306085	00619383	Blandford town	A	133580387	4837701	51.576	1.868	42.190191	-72.954263                                                                                                             
MA	2501308470	00619384	Brimfield town	A	90056657	1421542	34.771	0.549	42.128176	-72.205352                                                                                                              
MA	2501313485	00619385	Chester town	A	94759056	1498302	36.587	0.578	42.269728	-72.934495                                                                                                                
MA	2501313660	00618181	Chicopee city	F	59325176	2503172	22.906	0.966	42.177586	-72.570189                                                                                                               
MA	2501319645	00618182	East Longmeadow town	A	33504997	181607	12.936	0.07	42.062378	-72.498111                                                                                                          
MA	2501326675	00618183	Granville town	A	109598643	2080864	42.316	0.803	42.087356	-72.90835                                                                                                              
MA	2501328075	00618184	Hampden town	A	50791584	77618	19.611	0.03	42.071188	-72.417718                                                                                                                   
MA	2501330665	00618185	Holland town	A	31809729	1990947	12.282	0.769	42.046783	-72.180212                                                                                                                
MA	2501330840	00619386	Holyoke city	F	54826719	4226511	21.169	1.632	42.211658	-72.642448                                                                                                                
MA	2501336300	00618186	Longmeadow town	A	23541604	1310309	9.089	0.506	42.048054	-72.569275                                                                                                              
MA	2501337175	00618187	Ludlow town	A	70436242	2958134	27.196	1.142	42.183577	-72.457812                                                                                                                 
MA	2501342145	00618188	Monson town	A	114530325	1460445	44.22	0.564	42.093596	-72.321494                                                                                                                 
MA	2501342530	00618189	Montgomery town	A	38725532	300503	14.952	0.116	42.220395	-72.834999                                                                                                              
MA	2501352144	00619387	Palmer Town city	F	81782338	1093565	31.576	0.422	42.188862	-72.30648                                                                                                             
MA	2501358650	00618190	Russell town	A	45253983	1119374	17.473	0.432	42.161251	-72.853806                                                                                                                
MA	2501365825	00618191	Southwick town	A	79816286	2151144	30.817	0.831	42.05257	-72.777353                                                                                                               
MA	2501367000	00619388	Springfield city	F	82542448	3134491	31.87	1.21	42.115454	-72.539978                                                                                                              
MA	2501370045	00618192	Tolland town	A	81707366	3277890	31.547	1.266	42.102146	-73.034555                                                                                                                
MA	2501372390	00619389	Wales town	A	40798912	598303	15.753	0.231	42.061313	-72.234411                                                                                                                   
MA	2501376030	00618193	Westfield city	F	119817414	2730007	46.262	1.054	42.138838	-72.755911                                                                                                             
MA	2501377890	00618194	West Springfield Town city	F	43331574	2089773	16.73	0.807	42.125451	-72.649734                                                                                                   
MA	2501379740	00619390	Wilbraham town	A	57094704	752097	22.044	0.29	42.126883	-72.430952                                                                                                                
MA	2501501370	00618195	Amherst Town city	F	71546037	340031	27.624	0.131	42.363534	-72.507291                                                                                                            
MA	2501504825	00618196	Belchertown town	A	136237927	6938074	52.602	2.679	42.27901	-72.400468                                                                                                            
MA	2501513590	00618197	Chesterfield town	A	79898641	1028161	30.849	0.397	42.377852	-72.841984                                                                                                           
MA	2501516040	00618198	Cummington town	A	59408393	332330	22.938	0.128	42.465495	-72.918267                                                                                                              
MA	2501519370	00618199	Easthampton Town city	F	34507656	727239	13.323	0.281	42.265435	-72.670813                                                                                                        
MA	2501526290	00619391	Goshen town	A	44809103	1030938	17.301	0.398	42.437627	-72.811141                                                                                                                 
MA	2501526535	00618200	Granby town	A	72048765	666977	27.818	0.258	42.244949	-72.500143                                                                                                                  
MA	2501527690	00618201	Hadley town	A	59802235	3948125	23.09	1.524	42.356491	-72.568632                                                                                                                  
MA	2501529265	00618202	Hatfield town	A	41175416	2395444	15.898	0.925	42.389402	-72.616806                                                                                                               
MA	2501531785	00618203	Huntington town	A	68154933	1240614	26.315	0.479	42.281797	-72.862646                                                                                                             
MA	2501540990	00618204	Middlefield town	A	62416968	68173	24.099	0.026	42.367352	-73.023989                                                                                                              
MA	2501546330	00619392	Northampton city	F	88695046	3896266	34.245	1.504	42.327044	-72.67463                                                                                                             
MA	2501552560	00618205	Pelham town	A	65017557	3740202	25.103	1.444	42.371648	-72.412488                                                                                                                 
MA	2501554030	00618206	Plainfield town	A	54709408	596478	21.123	0.23	42.512353	-72.918666                                                                                                               
MA	2501562745	00618207	Southampton town	A	72904071	2082889	28.148	0.804	42.226949	-72.741588                                                                                                            
MA	2501564145	00618208	South Hadley town	A	45876583	1865237	17.713	0.72	42.256532	-72.580248                                                                                                            
MA	2501572880	00618209	Ware town	A	89031717	14513613	34.375	5.604	42.275462	-72.280158                                                                                                                  
MA	2501576380	00618210	Westhampton town	A	70388192	478375	27.177	0.185	42.314078	-72.777977                                                                                                             
MA	2501579915	00618211	Williamsburg town	A	66137923	356904	25.536	0.138	42.405414	-72.726043                                                                                                            
MA	2501582175	00618212	Worthington town	A	82767303	379824	31.957	0.147	42.397559	-72.943392                                                                                                             
MA	2501700380	00618213	Acton town	A	51454643	1115114	19.867	0.431	42.483953	-71.438495                                                                                                                  
MA	2501701605	00619393	Arlington town	A	13318502	888095	5.142	0.343	42.418722	-71.163912                                                                                                                
MA	2501701955	00618214	Ashby town	A	61290670	1000254	23.664	0.386	42.676293	-71.832523                                                                                                                  
MA	2501702130	00619394	Ashland town	A	31954434	1389649	12.338	0.537	42.257755	-71.473526                                                                                                                
MA	2501703005	00618215	Ayer town	A	23176424	1437476	8.948	0.555	42.566573	-71.575135                                                                                                                    
MA	2501704615	00619395	Bedford town	A	35385694	458061	13.662	0.177	42.499332	-71.281901                                                                                                                 
MA	2501705070	00618216	Belmont town	A	12036062	183512	4.647	0.071	42.395317	-71.180284                                                                                                                  
MA	2501705805	00618217	Billerica town	A	66236620	1926400	25.574	0.744	42.559674	-71.260948                                                                                                              
MA	2501707350	00618218	Boxborough town	A	26636068	317226	10.284	0.122	42.485985	-71.520985                                                                                                              
MA	2501709840	00618219	Burlington town	A	30432364	294382	11.75	0.114	42.503227	-71.201713                                                                                                               
MA	2501711000	00619396	Cambridge city	F	16567881	1829521	6.397	0.706	42.376043	-71.11868                                                                                                                
MA	2501711525	00619397	Carlisle town	A	39560501	646536	15.274	0.25	42.536807	-71.361324                                                                                                                 
MA	2501713135	00618220	Chelmsford town	A	57970150	1819085	22.382	0.702	42.597055	-71.3697                                                                                                               
MA	2501715060	00619398	Concord town	A	63493113	3416644	24.515	1.319	42.462911	-71.364496                                                                                                                
MA	2501717475	00618221	Dracut town	A	53548973	1925421	20.675	0.743	42.679723	-71.30068                                                                                                                  
MA	2501717825	00618222	Dunstable town	A	42620845	771418	16.456	0.298	42.676149	-71.499772                                                                                                               
