municipality,year,payt,svc_type,hh_total,hh_trash,hh_recycling,trash_tons,recyc_tons,bulky_incl,lbs_hh_yr,coverage
Mashpee,2023,0,Drop-off,10212.0,4548.0,5121.0,2992.0,,0,1315.7431838170623,0.44535840188014103
Mattapoisett,2023,0,Both,4050.0,4050.0,4050.0,2031.56,675.51,0,1003.2395061728395,1.0
Maynard,2023,0,Curbside,5496.0,4500.0,4500.0,1943.59,984.0,0,863.8177777777778,0.8187772925764192
Medfield,2023,0,Drop-off,4536.0,3295.0,3295.0,2449.72,688.13,1,1486.9317147192717,0.7264109347442681
Medford,2023,0,Curbside,23016.0,19500.0,19500.0,15034.0,5001.0,1,1541.948717948718,0.8472367049009385
Medway,2023,1,Both,5182.0,4232.0,4232.0,3982.18,1477.58,1,1881.9376181474481,0.8166730991895021
Melrose,2023,0,Curbside,11996.0,8591.0,8591.0,6876.5,2797.76,1,1600.8613665463859,0.7161553851283762
Merrimac,2023,1,Curbside,3539.0,1266.0,1969.0,581.66,557.9,1,918.8941548183254,0.3577281717999435
Methuen,2023,0,Both,19043.0,14900.0,14800.0,14632.0,4000.55,1,1964.0268456375838,0.7824397416373471
Middleborough,2023,0,Both,7545.0,6658.0,6658.0,5334.0,1740.5,0,1602.2829678582157,0.8824387011265739
Middlefield,2023,0,Drop-off,278.0,204.0,204.0,114.63,,0,1123.8235294117646,0.7338129496402878
Milford,2023,0,Curbside,10547.0,10500.0,10500.0,10987.0,1548.0,1,2092.7619047619046,0.9955437565184413
Millbury,2023,0,Drop-off,5165.0,3769.0,3769.0,3360.0,155.0,1,1782.966304059432,0.7297192642787996
Milton,2023,1,Curbside,9555.0,8937.0,9395.0,6464.0,3346.59,1,1446.5704375069934,0.9353218210361067
Monroe,2023,0,Curbside,73.0,73.0,73.0,49.76,0.88,0,1363.2876712328766,1.0
Monson,2023,0,Curbside,2957.0,2826.0,2826.0,2764.61,550.53,1,1956.553432413305,0.9556983429151167
Montague,2023,1,Curbside,3430.0,2424.0,2424.0,1272.75,,0,1050.1237623762377,0.7067055393586006
Monterey,2023,0,Drop-off,902.0,571.0,571.0,235.3,0.0,0,824.1681260945709,0.6330376940133038
Nahant,2023,0,Curbside,1300.0,1300.0,1300.0,1035.21,398.64,1,1592.6307692307691,1.0
Nantucket,2023,0,Drop-off,9036.0,9036.0,9036.0,7027.57,,1,1555.4603806994246,1.0
Natick,2023,1,Curbside,13592.0,10712.0,10712.0,5793.0,3224.83,1,1081.5907393577297,0.7881106533254856
Needham,2023,1,Drop-off,14819.0,5500.0,5500.0,2329.0,268.0,0,846.9090909090909,0.37114515149470273
New Bedford,2023,0,Curbside,41772.0,38295.0,41595.0,30356.37,7467.93,1,1585.3960047003525,0.9167624245906348
New Marlborough,2023,0,Drop-off,970.0,434.0,434.0,215.9,,0,994.9308755760369,0.44742268041237115
New Salem,2023,1,Drop-off,439.0,242.0,242.0,140.26,,0,1159.1735537190082,0.55125284738041
Newbury,2023,1,Drop-off,2972.0,1987.0,2354.0,843.68,,0,849.1997986914947,0.6685733512786003
Newburyport,2023,0,Curbside,9435.0,8187.0,8187.0,5404.85,2071.94,1,1320.3493343104922,0.8677265500794913
Newton,2023,0,Curbside,31375.0,28500.0,28500.0,16946.51,8076.1,1,1189.2287719298245,0.9083665338645418
Norfolk,2023,1,Drop-off,3952.0,1264.0,1264.0,421.0,0.0,0,666.1392405063291,0.31983805668016196
North Andover,2023,0,Curbside,12250.0,8350.0,8350.0,8027.36,2092.77,1,1922.7209580838323,0.6816326530612244
North Attleborough,2023,1,Both,10391.0,8889.0,8906.0,5274.58,2727.28,1,1186.765665429182,0.8554518333172938
North Brookfield,2023,1,Drop-off,1800.0,975.0,975.0,566.79,,1,1162.6461538461538,0.5416666666666666
